batchYear,breed,_id,sex,status
2019,RJF,1101,M,U
2019,RJF,1102,M,U
2019,RJF,1104,F,U
2020,RJF,1105,U,A
2020,RJF,1106,U,A
2020,RJF,1107,U,A
2020,RJF,1108,U,A
2020,RJF,1109,U,A
2020,RJF,1110,U,A
2020,RJF,1111,U,A
2020,RJF,1112,U,A
2020,RJF,1113,U,A
2020,RJF,1114,U,A
2020,RJF,1115,U,A
2020,RJF,1116,U,A
2020,RJF,1117,U,A
2020,RJF,1118,U,A
2020,RJF,1119,U,A
2020,RJF,1120,U,A
2020,RJF,1121,U,A
2020,RJF,1122,U,A
2020,RJF,1123,U,A
2020,RJF,1124,U,A
2020,RJF,1125,U,A
2019,RJF,1126,M,U
2020,RJF,1127,U,A
2020,RJF,1128,U,A
2020,RJF,1129,U,A
2020,RJF,1130,U,A
2020,RJF,1131,U,A
2020,RJF,1132,U,A
2020,RJF,1133,U,A
2020,RJF,1134,U,A
2020,RJF,1135,U,A
2020,RJF,1136,U,A
2020,RJF,1137,U,A
2020,RJF,1138,U,A
2020,RJF,1139,U,A
2020,RJF,1140,U,A
2020,RJF,1141,U,A
2020,RJF,1142,U,A
2020,RJF,1143,U,A
2020,RJF,1145,U,A
2019,RJF,2001,M,U
2019,RJF,2002,F,U
2019,RJF,2003,F,U
2019,RJF,2004,M,U
2019,RJF,2005,F,U
2019,RJF,2006,M,U
2019,RJF,2007,F,U
2019,RJF,2008,M,U
2019,RJF,2009,M,U
2019,RJF,2010,U,U
2019,RJF,2011,F,U
2019,RJF,2012,F,U
2019,RJF,2013,F,U
2019,RJF,2014,F,U
2019,RJF,2015,M,U
2019,RJF,2016,M,U
2019,RJF,2017,M,U
2019,RJF,2018,M,U
2019,RJF,2019,M,U
2019,RJF,2020,F,U
2019,RJF,2021,F,U
2019,RJF,2022,F,U
2019,RJF,2023,F,U
2019,RJF,2024,M,U
2019,RJF,2025,U,U
2019,RJF,2026,M,U
2019,RJF,2027,F,U
2019,RJF,2028,U,U
2019,RJF,2029,U,U
2019,RJF,2030,F,U
2019,RJF,2031,U,U
2019,RJF,2032,M,U
2019,RJF,2033,M,U
2019,RJF,2034,F,U
2019,RJF,2035,M,U
2019,RJF,2036,M,U
2019,RJF,2037,U,U
2019,RJF,2038,F,U
2019,RJF,2039,U,U
2019,RJF,2040,F,U
2019,RJF,2041,F,U
2019,RJF,2042,F,U
2019,RJF,2044,F,U
2019,RJF,2045,F,U
2019,RJF,2046,M,U
2019,RJF,2047,M,U
2019,RJF,2048,F,U
2019,RJF,2049,M,U
2019,RJF,2050,U,U
2019,RJF,2051,M,U
2019,RJF,2052,M,U
2019,RJF,2053,M,U
2019,RJF,2054,F,U
2019,RJF,2055,M,U
2019,RJF,2056,F,U
2019,RJF,2057,U,U
2019,RJF,2058,U,U
2019,RJF,2059,M,U
2019,RJF,2060,U,U
2019,RJF,2061,M,U
2019,RJF,2062,M,U
2019,RJF,2063,M,U
2019,RJF,2064,M,U
2019,RJF,2065,F,U
2019,RJF,2066,M,U
2019,RJF,2068,F,U
2019,RJF,2069,F,U
2019,RJF,2070,F,U
2019,RJF,2071,F,U
2019,RJF,2072,M,U
2019,RJF,2073,M,U
2019,RJF,2074,M,U
2019,RJF,2075,F,U
2019,RJF,2076,F,U
2019,RJF,2077,M,U
2019,RJF,2078,M,U
2019,RJF,2079,M,U
2019,RJF,2081,M,U
2019,RJF,2082,F,U
2019,RJF,2083,M,U
2019,RJF,2085,M,U
2019,RJF,2086,M,U
2019,RJF,2087,F,U
2019,RJF,2088,M,U
2019,RJF,2089,F,U
2019,RJF,2090,F,U
2019,RJF,2091,M,U
2019,RJF,2092,F,U
2019,RJF,2093,F,U
2019,RJF,2094,F,U
2019,RJF,2095,F,U
2019,RJF,2096,M,U
2019,RJF,2097,M,U
2019,RJF,2098,M,U
2019,RJF,2099,U,U
2012,RJF,2401,F,U
2012,RJF,2402,U,U
2012,RJF,2403,M,U
2012,RJF,2404,F,U
2012,RJF,2405,M,U
2012,RJF,2406,M,U
2012,RJF,2407,F,U
2012,RJF,2409,M,U
2012,RJF,2410,M,U
2012,RJF,2411,U,U
2012,RJF,2412,F,U
2012,RJF,2413,M,U
2012,RJF,2414,U,U
2012,RJF,2415,U,U
2012,RJF,2416,U,U
2012,RJF,2417,U,U
2012,RJF,2418,U,U
2012,RJF,2419,U,U
2012,RJF,2420,U,U
2012,RJF,2421,U,U
2012,RJF,2422,M,U
2012,RJF,2423,U,U
2012,RJF,2424,U,U
2012,RJF,2425,F,U
2012,RJF,2426,F,U
2012,RJF,2427,U,U
2012,RJF,2428,U,U
2012,RJF,2429,U,U
2012,RJF,2430,U,U
2012,RJF,2431,U,U
2012,RJF,2432,U,U
2012,RJF,2433,U,U
2012,RJF,2434,U,U
2012,RJF,2435,U,U
2012,RJF,2436,U,U
2012,RJF,2437,U,U
2012,RJF,2438,U,U
2012,RJF,2439,U,U
2012,RJF,2440,M,U
2012,RJF,2441,U,U
2012,RJF,2442,U,U
2012,RJF,2443,U,U
2012,RJF,2444,U,U
2012,RJF,2445,U,U
2012,RJF,2446,M,U
2012,RJF,2447,U,U
2012,RJF,2448,U,U
2012,RJF,2449,U,U
2012,RJF,2450,U,U
2012,RJF,2451,U,U
2012,RJF,2452,U,U
2012,RJF,2453,F,U
2012,RJF,2454,F,U
2012,RJF,2455,M,U
2012,RJF,2456,M,U
2012,RJF,2457,F,U
2012,RJF,2458,U,U
2012,RJF,2459,U,U
2012,RJF,2460,U,U
2012,RJF,2461,F,U
2012,RJF,2462,U,U
2012,RJF,2463,U,U
2012,RJF,2464,U,U
2012,RJF,2465,U,U
2012,RJF,2466,U,U
2012,RJF,2467,U,U
2012,RJF,2468,M,U
2012,RJF,2469,F,U
2012,RJF,2471,F,U
2012,RJF,2472,F,U
2012,RJF,2473,M,U
2012,RJF,2474,U,U
2012,RJF,3125,U,U
2012,RJF,3126,U,U
2012,RJF,3127,U,U
2012,RJF,3128,U,U
2012,RJF,3129,U,U
2012,RJF,3130,U,U
2012,RJF,3131,U,U
2012,RJF,3132,U,U
2012,RJF,3133,U,U
2012,RJF,3134,U,U
2012,RJF,3135,U,U
2012,RJF,3136,U,U
2012,RJF,3137,U,U
2012,RJF,3138,U,U
2012,RJF,3139,M,U
2012,RJF,3140,U,U
2012,RJF,3141,U,U
2012,RJF,3142,U,U
2012,RJF,3143,M,U
2012,RJF,3144,F,U
2012,RJF,3145,F,U
2012,RJF,3146,U,U
2012,RJF,3147,U,U
2012,RJF,3148,F,U
2012,RJF,3150,U,U
2012,RJF,3151,U,U
2012,RJF,3152,F,U
2012,RJF,3153,M,U
2012,RJF,3154,M,U
2012,RJF,3155,U,U
2012,RJF,3156,U,U
2012,RJF,3157,U,U
2012,RJF,3158,U,U
