"entry_id";"child";"parent"
4095;1101;7904
4096;1102;7708
4097;1104;7739
4098;1105;2009
4099;1106;2088
4100;1107;2088
4101;1108;2078
4102;1109;2004
4103;1110;2006
4104;1111;2086
4105;1112;2046
4106;1113;2015
4107;1114;2015
4108;1115;2061
4109;1116;2088
4110;1117;2061
4111;1118;2091
4112;1119;2035
4113;1120;2019
4114;1121;2024
4115;1122;2073
4116;1123;2061
4117;1124;2078
4118;1125;2072
4119;1126;7809
4120;1127;2073
4121;1128;2072
4122;1129;2016
4123;1130;2016
4124;1131;2053
4125;1132;2078
4126;1133;2009
4127;1134;2083
4128;1135;2061
4129;1136;2091
4130;1137;2016
4131;1138;1101
4132;1139;2061
4133;1140;2061
4134;1141;2024
4135;1142;2001
4136;1143;2078
4137;1145;2026
4138;2001;7914
4139;2002;7914
4140;2003;7914
4141;2004;7713
4142;2005;7713
4143;2006;7713
4144;2007;7713
4145;2008;7713
4146;2009;7713
4147;2010;7713
4148;2011;7909
4149;2012;7709
4150;2013;7709
4151;2014;7709
4152;2015;7709
4153;2016;7709
4154;2017;7753
4155;2018;7753
4156;2019;7753
4157;2020;7905
4158;2021;7905
4159;2022;7905
4160;2023;7905
4161;2024;7905
4162;2025;7905
4163;2026;7905
4164;2027;7905
4165;2028;7750
4166;2029;7905
4167;2030;7905
4168;2031;7905
4169;2032;7909
4170;2033;7169
4171;2034;7169
4172;2035;7169
4173;2036;7750
4174;2037;7750
4175;2038;7750
4176;2039;7750
4177;2040;7750
4178;2041;7809
4179;2042;0
4180;2044;7786
4181;2045;7738
4182;2046;7738
4183;2047;7786
4184;2048;7786
4185;2049;7786
4186;2050;7905
4187;2051;0
4188;2052;0
4189;2053;0
4190;2054;0
4191;2055;0
4192;2056;0
4193;2057;7750
4194;2058;0
4195;2059;7809
4196;2060;7750
4197;2061;7750
4198;2062;7809
4199;2063;7809
4200;2064;7809
4201;2065;7809
4202;2066;7708
4203;2068;7708
4204;2069;0
4205;2070;0
4206;2071;0
4207;2072;0
4208;2073;7862
4209;2074;7862
4210;2075;7862
4211;2076;7862
4212;2077;7862
4213;2078;7862
4214;2079;7739
4215;2081;7739
4216;2082;7904
4217;2083;7904
4218;2085;7904
4219;2086;7904
4220;2087;7904
4221;2088;7793
4222;2089;7793
4223;2090;7793
4224;2091;7793
4225;2092;7793
4226;2093;0
4227;2094;0
4228;2095;0
4229;2096;0
4230;2097;0
4231;2098;7709
4232;2099;0
4233;2401;34460
4234;2402;34460
4235;2403;34460
4236;2404;34460
4237;2405;34460
4238;2406;34460
4239;2407;34460
4240;2409;34471
4241;2410;34471
4242;2411;34471
4243;2412;34471
4244;2413;34471
4245;2414;34471
4246;2415;34471
4247;2416;34451
4248;2417;34451
4249;2418;34451
4250;2419;34451
4251;2420;34451
4252;2421;34491
4253;2422;34491
4254;2423;34491
4255;2424;34491
4256;2425;34491
4257;2426;34491
4258;2427;34466
4259;2428;34480
4260;2429;34480
4261;2430;34480
4262;2431;34480
4263;2432;34480
4264;2433;34480
4265;2434;34480
4266;2435;34480
4267;2436;34683
4268;2437;34683
4269;2438;34683
4270;2439;34683
4271;2440;34683
4272;2441;34500
4273;2442;34500
4274;2443;34500
4275;2444;34500
4276;2445;34500
4277;2446;34485
4278;2447;34485
4279;2448;34467
4280;2449;34467
4281;2450;34467
4282;2451;34467
4283;2452;34467
4284;2453;34492
4285;2454;34492
4286;2455;34492
4287;2456;34492
4288;2457;34485
4289;2458;34467
4290;2459;34467
4291;2460;34500
4292;2461;34468
4293;2462;34468
4294;2463;34468
4295;2464;34468
4296;2465;34466
4297;2466;34466
4298;2467;34480
4299;2468;34683
4300;2469;34683
4301;2471;34451
4302;2472;34460
4303;2473;34460
4304;2474;34683
4305;3125;34491
4306;3126;34460
4307;3127;34460
4308;3128;34460
4309;3129;34460
4310;3130;34485
4311;3131;34485
4312;3132;34485
4313;3133;34485
4314;3134;34485
4315;3135;34492
4316;3136;34492
4317;3137;34492
4318;3138;34492
4319;3139;34467
4320;3140;34467
4321;3141;34467
4322;3142;34467
4323;3143;34467
4324;3144;34467
4325;3145;34500
4326;3146;34500
4327;3147;34500
4328;3148;34471
4329;3150;34471
4330;3151;34480
4331;3152;34480
4332;3153;34480
4333;3154;34480
4334;3155;34477
4335;3156;34477
4336;3157;34477
4337;3158;34477
4338;3159;34474
4339;3160;34474
4340;3161;34474
4341;3162;34474
4342;3163;34474
4343;3164;34458
4344;3165;34458
4345;3166;34458
4346;3168;34458
4347;3169;34466
4348;3170;34466
4349;3171;34466
4350;3172;34468
4351;3173;34492
4352;3174;34471
4353;3175;34458
4354;5701;1101
4355;5702;1101
4356;5704;1101
4357;5705;1101
4358;5706;0
4359;5707;0
4360;5710;2017
4361;5711;2017
4362;5712;2017
4363;5713;2017
4364;5716;2083
4365;5717;2083
4366;5718;2086
4367;5719;2086
4368;5720;2086
4369;5723;2006
4370;5724;2046
4371;5725;2046
4372;5726;2046
4373;5728;2035
4374;5730;2009
