"Year";"BatchID";"MotherID";"FatherID";"ChickenID";"Sex";"Species";"Species_Latin"
2019;"";7735;7904;1101;"M";"Red Junglefowl";"G. g. gallus"
2019;"";7910;7708;1102;"M";"Red Junglefowl";"G. g. gallus"
2019;"";0;7739;1104;"F";"Red Junglefowl";"G. g. gallus"
2020;"";2057;2009;1105;"";"Red Junglefowl";"G. g. gallus"
2020;"";2005;2088;1106;"";"Red Junglefowl";"G. g. gallus"
2020;"";2005;2088;1107;"";"Red Junglefowl";"G. g. gallus"
2020;"";2040;2078;1108;"";"Red Junglefowl";"G. g. gallus"
2020;"";2023;2004;1109;"";"Red Junglefowl";"G. g. gallus"
2020;"";2089;2006;1110;"";"Red Junglefowl";"G. g. gallus"
2020;"";2090;2086;1111;"";"Red Junglefowl";"G. g. gallus"
2020;"";2027;2046;1112;"";"Red Junglefowl";"G. g. gallus"
2020;"";2038;2015;1113;"";"Red Junglefowl";"G. g. gallus"
2020;"";2038;2015;1114;"";"Red Junglefowl";"G. g. gallus"
2020;"";2044;2061;1115;"";"Red Junglefowl";"G. g. gallus"
2020;"";2005;2088;1116;"";"Red Junglefowl";"G. g. gallus"
2020;"";2044;2061;1117;"";"Red Junglefowl";"G. g. gallus"
2020;"";2075;2091;1118;"";"Red Junglefowl";"G. g. gallus"
2020;"";2070;2035;1119;"";"Red Junglefowl";"G. g. gallus"
2020;"";2094;2019;1120;"";"Red Junglefowl";"G. g. gallus"
2020;"";2034;2024;1121;"";"Red Junglefowl";"G. g. gallus"
2020;"";2012;2073;1122;"";"Red Junglefowl";"G. g. gallus"
2020;"";2044;2061;1123;"";"Red Junglefowl";"G. g. gallus"
2020;"";2040;2078;1124;"";"Red Junglefowl";"G. g. gallus"
2020;"";2087;2072;1125;"";"Red Junglefowl";"G. g. gallus"
2019;"";0;7809;1126;"M";"Red Junglefowl";"G. g. gallus"
2020;"";2012;2073;1127;"";"Red Junglefowl";"G. g. gallus"
2020;"";2087;2072;1128;"";"Red Junglefowl";"G. g. gallus"
2020;"";2030;2016;1129;"";"Red Junglefowl";"G. g. gallus"
2020;"";2030;2016;1130;"";"Red Junglefowl";"G. g. gallus"
2020;"";2056;2053;1131;"";"Red Junglefowl";"G. g. gallus"
2020;"";2040;2078;1132;"";"Red Junglefowl";"G. g. gallus"
2020;"";2057;2009;1133;"";"Red Junglefowl";"G. g. gallus"
2020;"";2048;2083;1134;"";"Red Junglefowl";"G. g. gallus"
2020;"";2044;2061;1135;"";"Red Junglefowl";"G. g. gallus"
2020;"";2075;2091;1136;"";"Red Junglefowl";"G. g. gallus"
2020;"";2030;2016;1137;"";"Red Junglefowl";"G. g. gallus"
2020;"";2054;1101;1138;"";"Red Junglefowl";"G. g. gallus"
2020;"";2044;2061;1139;"";"Red Junglefowl";"G. g. gallus"
2020;"";2044;2061;1140;"";"Red Junglefowl";"G. g. gallus"
2020;"";2034;2024;1141;"";"Red Junglefowl";"G. g. gallus"
2020;"";2020;2001;1142;"";"Red Junglefowl";"G. g. gallus"
2020;"";2040;2078;1143;"";"Red Junglefowl";"G. g. gallus"
2020;"";2007;2026;1145;"";"Red Junglefowl";"G. g. gallus"
2019;"";7896;7914;2001;"M";"Red Junglefowl";"G. g. gallus"
2019;"";7896;7914;2002;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7896;7914;2003;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7748;7713;2004;"M";"Red Junglefowl";"G. g. gallus"
2019;"";7748;7713;2005;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7748;7713;2006;"M";"Red Junglefowl";"G. g. gallus"
2019;"";7748;7713;2007;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7748;7713;2008;"M";"Red Junglefowl";"G. g. gallus"
2019;"";7748;7713;2009;"M";"Red Junglefowl";"G. g. gallus"
2019;"";7748;7713;2010;"";"Red Junglefowl";"G. g. gallus"
2019;"";0;7909;2011;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7907;7709;2012;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7907;7709;2013;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7907;7709;2014;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7907;7709;2015;"M";"Red Junglefowl";"G. g. gallus"
2019;"";7907;7709;2016;"M";"Red Junglefowl";"G. g. gallus"
2019;"";0;7753;2017;"M";"Red Junglefowl";"G. g. gallus"
2019;"";0;7753;2018;"M";"Red Junglefowl";"G. g. gallus"
2019;"";0;7753;2019;"M";"Red Junglefowl";"G. g. gallus"
2019;"";7754;7905;2020;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7754;7905;2021;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7754;7905;2022;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7754;7905;2023;"F";"Red Junglefowl";"G. g. gallus"
2019;"";7754;7905;2024;"M";"Red Junglefowl";"G. g. gallus"
2019;"";7754;7905;2025;"";"Red Junglefowl";"G. g. gallus"
2019;"";7754;7905;2026;"M";"Red Junglefowl";"G. g. gallus"
